Folio, Fecha_Embarque, Puerto, Pais, SKU, Cantidad, Costo
IMP-24001 , 01/02/2024,Shanghai ,China, MEZ-100, 1000, 500.00
IMP-24002,02/02/2024, Busan,Corea ,MEZ-101,2500,1250
IMP-24003,03-02-2024,Rotterdam,Países Bajos, MEZ-200 ,500,250.5
IMP-24004,03/02/2024,Manzanillo , México,IMP-300,1200,600
IMP24005,04-feb-2024,Santos,Brasil,IMP-301,3000,1500.75
IMP-24006,05/02/2024,Shanghai,China,MEZ-100,800,400
IMP-24007,05/02/2024,Busan ,Corea,MEZ-101,1500,750.25
,06/02/2024,Rotterdam,Países Bajos,MEZ-200,2000,1000
IMP-24009,07/02/2024,,México,IMP-300,900,450
IMP-24010,07/02/2024,Santos,Brasil, ,2300,1150